BRAND,SIZE_CODE,COUNTY,STATE,TRADE_CHANNEL,FSCL_WK_END_DTE,SALE_QUANTITY
LAY'S,8,ROCKWALL,TX,CHANNEL B,9/11/2021,818
CHESTERS,9,EL PASO,TX,CHANNEL A,4/23/2022,12742
FRITOS,3,HOWARD,TX,CHANNEL A,10/2/2021,592
LAY'S,4,LUBBOCK,TX,CHANNEL B,10/30/2021,13313
MUNCHOS,9,BEXAR,TX,CHANNEL A,9/3/2022,716
MUNCHIES,3,HARRIS,TX,CHANNEL A,10/9/2021,10860
HISPANIC,9,WHARTON,TX,CHANNEL A,10/9/2021,74
SMART FOODS,3,HARRIS,TX,CHANNEL A,11/13/2021,16737
RUFFLES,5,DENTON,TX,CHANNEL B,9/11/2021,4654
NUTS & SEEDS,19,HARRIS,TX,CHANNEL A,11/6/2021,11086
CHEETOS,3,HARRIS,TX,CHANNEL A,11/6/2021,135956
LAY'S,4,MAVERICK,TX,CHANNEL A,4/23/2022,124
RUFFLES,3,BRAZOS,TX,CHANNEL A,1/22/2022,1992
TOSTITOS,14,TARRANT,TX,CHANNEL B,10/16/2021,5640
DORITOS,3,SHELBY,TX,CHANNEL A,11/20/2021,342
CHEETOS,3,BEXAR,TX,CHANNEL A,12/25/2021,65961
TOSTITOS,14,WEBB,TX,CHANNEL A,5/14/2022,492
CHESTERS,3,HIDALGO,TX,CHANNEL A,11/13/2021,9615
HISPANIC,3,TARRANT,TX,CHANNEL A,7/9/2022,4465
DORITOS,3,LIBERTY,TX,CHANNEL A,10/23/2021,2812
NUTS & SEEDS,15,NUECES,TX,CHANNEL A,5/21/2022,3050
VARIETY PACK,41,DALLAS,TX,CHANNEL B,10/30/2021,1546
LAY'S,11,HARRIS,TX,CHANNEL B,4/30/2022,34
FRITOS,3,LIVE OAK,TX,CHANNEL A,10/2/2021,877
TOSTITOS,23,HARRIS,TX,CHANNEL B,10/9/2021,4450
DORITOS,3,GALVESTON,TX,CHANNEL A,5/14/2022,10158
ROLD GOLD,4,DALLAS,TX,CHANNEL B,6/4/2022,760
BAKEN-ETS,17,HARRIS,TX,CHANNEL A,6/4/2022,-1551
DORITOS,30,HARRIS,TX,CHANNEL A,8/6/2022,18499
HISPANIC,9,DENTON,TX,CHANNEL A,1/29/2022,1307
HISPANIC,3,CAMERON,TX,CHANNEL A,4/9/2022,2393
GRANDMA'S COOKIES,20,HARRIS,TX,CHANNEL A,10/30/2021,8559
LAY'S,3,HARRIS,TX,CHANNEL A,5/14/2022,103613
RUFFLES,3,HAYS,TX,CHANNEL A,9/3/2022,3098
DORITOS,3,MIDLAND,TX,CHANNEL A,8/13/2022,6777
LAY'S,3,NUECES,TX,CHANNEL A,12/4/2021,8326
VARIETY PACK,8,HARRIS,TX,CHANNEL B,3/5/2022,50670
SANTITAS,26,BEXAR,TX,CHANNEL A,10/2/2021,1177
DORITOS,3,JACKSON,TX,CHANNEL A,8/27/2022,1048
CHEETOS,4,TARRANT,TX,CHANNEL A,2/19/2022,11678
NUTS & SEEDS,10,WALLER,TX,CHANNEL A,8/13/2022,1045
FRITOS,4,PARKER,TX,CHANNEL B,12/4/2021,1360
